id,narrative_text,DV,SH,ST,CA,WH,OV,ipc_bns_section,evidence_notes,source
WSL_0050,My relatives locked me in a room to stop me meeting someone.,0,0,0,0,0,1,"Case-specific, not clearly mapped",requires further context,Synthetic-Template
WSL_0051,My father-in-law forced me to quit my job. It happens almost every week.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0052,Someone from college leaked my private photos online.,0,0,0,1,0,0,66E IT Act / 77 BNS,digital harassment/privacy violation,Synthetic-Template
WSL_0053,Someone recorded me without consent and threatened to post it.,0,0,0,1,0,0,66E IT Act / 77 BNS,digital harassment/privacy violation,Synthetic-Template
WSL_0054,Someone from college is sending death threats through anonymous email.,0,0,0,1,0,0,66E IT Act / 77 BNS,digital harassment/privacy violation,Synthetic-Template
WSL_0055,My stepfather slaps me in front of the children. It happens almost every week.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0056,My mother-in-law hits me whenever he comes home drunk.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0057,A former colleague has been parking outside my workplace every evening.,0,0,1,0,0,0,354D IPC / 78 BNS,repeated unwanted contact/presence,Synthetic-Template
WSL_0058,A relative at a family function forcibly kissed me without my consent.,0,1,0,0,0,0,354 IPC / 74 BNS,public/private harassment incident,Synthetic-Template
WSL_0059,"A man from my building has been showing up at every place I go, including work.",0,0,1,0,0,0,354D IPC / 78 BNS,repeated unwanted contact/presence,Synthetic-Template
WSL_0060,My manager touched me without consent and threatens my job when I complain.,0,1,0,0,1,0,354A IPC / POSH Act,combined SH and WH,Synthetic-Template
WSL_0061,My husband's family drags me by the hair whenever dinner is late. It has gotten worse in the last few months.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0062,My husband and his mother verbally abuses me daily in front of relatives. This has been going on for over a year.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0063,A man I matched with on a dating app keeps contacting my family members.,0,0,1,0,0,0,354D IPC / 78 BNS,repeated unwanted contact/presence,Synthetic-Template
WSL_0064,A guest at a party kept staring and making explicit comments.,0,1,0,0,0,0,354 IPC / 74 BNS,public/private harassment incident,Synthetic-Template
WSL_0065,My ex-partner keeps sending me abusive explicit messages.,0,0,0,1,0,0,66E IT Act / 77 BNS,digital harassment/privacy violation,Synthetic-Template
WSL_0066,My ex-boyfriend is threatening to leak my chats unless I pay money.,0,0,0,1,0,0,66E IT Act / 77 BNS,digital harassment/privacy violation,Synthetic-Template
WSL_0067,A stranger online tracks my location constantly and posted my photos without consent.,0,0,1,1,0,0,354D IPC / IT Act,combined ST and CA,Synthetic-Template
WSL_0068,A stranger online sends me sexually explicit messages and knows personal details about me.,0,1,0,1,0,0,509 IPC / IT Act Sec 67,combined SH and CA,Synthetic-Template
WSL_0069,My brother-in-law pushes and shoves me during every argument. It happens almost every week.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0070,A man at the gym kept staring and making explicit comments.,0,1,0,0,0,0,354 IPC / 74 BNS,public/private harassment incident,Synthetic-Template
WSL_0071,My father-in-law pushed me down the stairs during a fight. This has been going on for over a year.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0072,My brother-in-law slaps me in front of the children. I am scared to go home most days now.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0073,My driving instructor kept staring and making explicit comments.,0,1,0,0,0,0,354 IPC / 74 BNS,public/private harassment incident,Synthetic-Template
WSL_0074,My brother-in-law locked me inside the house for days. I am scared to go home most days now.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0075,My brother-in-law forced me to quit my job. This has been going on for over a year.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0076,A man in the metro groped me and disappeared into the crowd.,0,1,0,0,0,0,354 IPC / 74 BNS,public/private harassment incident,Synthetic-Template
WSL_0077,A local group sent moneylenders to threaten me for repayment.,0,0,0,0,0,1,"Case-specific, not clearly mapped",requires further context,Synthetic-Template
WSL_0078,A senior colleague cornered me in the pantry inappropriately.,0,0,0,0,1,0,POSH Act Sec 2n,workplace harassment pattern,Synthetic-Template
WSL_0079,My ex-boyfriend leaked my private photos online.,0,0,0,1,0,0,66E IT Act / 77 BNS,digital harassment/privacy violation,Synthetic-Template
WSL_0080,My supervisor keeps making sexual jokes in front of the entire team.,0,1,0,0,1,0,354A IPC / POSH Act,combined SH and WH,Synthetic-Template
WSL_0081,A man I don't know waits outside my house every morning.,0,0,1,0,0,0,354D IPC / 78 BNS,repeated unwanted contact/presence,Synthetic-Template
WSL_0082,Someone from college is threatening to leak my chats unless I pay money.,0,0,0,1,0,0,66E IT Act / 77 BNS,digital harassment/privacy violation,Synthetic-Template
WSL_0083,My physiotherapist made suggestive comments while collecting money.,0,1,0,0,0,0,354 IPC / 74 BNS,public/private harassment incident,Synthetic-Template
WSL_0084,My neighbor appears at my gym at the exact same time every day.,0,0,1,0,0,0,354D IPC / 78 BNS,repeated unwanted contact/presence,Synthetic-Template
WSL_0085,A classmate has been parking outside my workplace every evening.,0,0,1,0,0,0,354D IPC / 78 BNS,repeated unwanted contact/presence,Synthetic-Template
WSL_0086,Someone keeps sending me abusive explicit messages.,0,0,0,1,0,0,66E IT Act / 77 BNS,digital harassment/privacy violation,Synthetic-Template
WSL_0087,A local group forced me into an early marriage.,0,0,0,0,0,1,"Case-specific, not clearly mapped",requires further context,Synthetic-Template
WSL_0088,My husband keeps demanding more dowry from my parents. I am scared to go home most days now.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0089,My in-laws physically abuse me regularly and are threatening my life over property.,1,0,0,0,0,1,498A IPC / case-specific,combined DV and OV,Synthetic-Template
WSL_0090,A local group are pressuring me into a marriage I don't want.,0,0,0,0,0,1,"Case-specific, not clearly mapped",requires further context,Synthetic-Template
WSL_0091,Someone from college morphed my photos and circulated them in a group chat.,0,0,0,1,0,0,66E IT Act / 77 BNS,digital harassment/privacy violation,Synthetic-Template
WSL_0092,A man in the metro made inappropriate comments during a private session.,0,1,0,0,0,0,354 IPC / 74 BNS,public/private harassment incident,Synthetic-Template
WSL_0093,My husband's family keeps demanding more dowry from my parents. It has gotten worse in the last few months.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0094,My neighbor left notes on my car every day for two weeks.,0,0,1,0,0,0,354D IPC / 78 BNS,repeated unwanted contact/presence,Synthetic-Template
WSL_0095,My landlord's men are threatening honor-based violence over my marriage choice.,0,0,0,0,0,1,"Case-specific, not clearly mapped",requires further context,Synthetic-Template
WSL_0096,A man I matched with on a dating app follows my car every day on my commute.,0,0,1,0,0,0,354D IPC / 78 BNS,repeated unwanted contact/presence,Synthetic-Template
WSL_0097,My community forced me into an early marriage.,0,0,0,0,0,1,"Case-specific, not clearly mapped",requires further context,Synthetic-Template
WSL_0098,A man I matched with on a dating app tracks my location through mutual friends.,0,0,1,0,0,0,354D IPC / 78 BNS,repeated unwanted contact/presence,Synthetic-Template
WSL_0099,My husband and his mother beats me over small household matters. This has been going on for over a year.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0100,A coworker cornered me in the pantry inappropriately.,0,0,0,0,1,0,POSH Act Sec 2n,workplace harassment pattern,Synthetic-Template
WSL_0101,A man in the metro made sexual comments about me in front of others.,0,1,0,0,0,0,354 IPC / 74 BNS,public/private harassment incident,Synthetic-Template
WSL_0102,My father-in-law took my salary and gives me no money. It happens almost every week.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0103,My mother-in-law pushed me down the stairs during a fight. It has gotten worse in the last few months.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0104,A local group are threatening to harm me over a land dispute.,0,0,0,0,0,1,"Case-specific, not clearly mapped",requires further context,Synthetic-Template
WSL_0105,My supervisor keeps making sexual jokes and threatens my job when I complain.,0,1,0,0,1,0,354A IPC / POSH Act,combined SH and WH,Synthetic-Template
WSL_0106,My manager keeps asking me to stay back late alone with him.,0,0,0,0,1,0,POSH Act Sec 2n,workplace harassment pattern,Synthetic-Template
WSL_0107,A man at the gym made lewd comments about my body.,0,1,0,0,0,0,354 IPC / 74 BNS,public/private harassment incident,Synthetic-Template
WSL_0108,My community tried to forcibly take me away from a public place.,0,0,0,0,0,1,"Case-specific, not clearly mapped",requires further context,Synthetic-Template
WSL_0109,A man I matched with on a dating app watches my house through his window constantly.,0,0,1,0,0,0,354D IPC / 78 BNS,repeated unwanted contact/presence,Synthetic-Template
WSL_0110,My team lead hinted that my promotion depends on personal favors.,0,0,0,0,1,0,POSH Act Sec 2n,workplace harassment pattern,Synthetic-Template
WSL_0111,My husband forced me to quit my job.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0112,My stepfather keeps a knife in the house and threatens me with it. This started right after our marriage.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0113,My in-laws threatens to take away my children if I complain.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0114,A man from my building keeps calling me from different numbers.,0,0,1,0,0,0,354D IPC / 78 BNS,repeated unwanted contact/presence,Synthetic-Template
WSL_0115,My stepfather hit me with a belt over a small disagreement. This has been going on for over a year.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0116,My former colleague is posting fake defamatory comments about me publicly.,0,0,0,1,0,0,66E IT Act / 77 BNS,digital harassment/privacy violation,Synthetic-Template
WSL_0117,A man I rejected waits outside my house daily and posted my photos without consent.,0,0,1,1,0,0,354D IPC / IT Act,combined ST and CA,Synthetic-Template
WSL_0118,A client sends me inappropriate messages on our work chat.,0,0,0,0,1,0,POSH Act Sec 2n,workplace harassment pattern,Synthetic-Template
WSL_0119,My husband physically abuses me and leaked intimate photos to my family.,1,0,0,1,0,0,498A IPC / 66E IT Act,combined DV and CA,Synthetic-Template
WSL_0120,My mother-in-law restricts me from speaking to my friends. This has been going on for over a year.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0121,A senior executive threatened a bad review if I didn't meet him outside work.,0,0,0,0,1,0,POSH Act Sec 2n,workplace harassment pattern,Synthetic-Template
WSL_0122,My physiotherapist forced himself on me despite me saying no clearly.,0,1,0,0,0,0,354 IPC / 74 BNS,public/private harassment incident,Synthetic-Template
WSL_0123,My boss shared inappropriate content about me in the team group chat.,0,0,0,0,1,0,POSH Act Sec 2n,workplace harassment pattern,Synthetic-Template
WSL_0124,My relatives sent moneylenders to threaten me for repayment.,0,0,0,0,0,1,"Case-specific, not clearly mapped",requires further context,Synthetic-Template
WSL_0125,Someone from college created a fake profile using my photos to message my friends.,0,0,0,1,0,0,66E IT Act / 77 BNS,digital harassment/privacy violation,Synthetic-Template
WSL_0126,My husband and his mother throws things at me during arguments. It has gotten worse in the last few months.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0127,A delivery man made inappropriate comments during a private session.,0,1,0,0,0,0,354 IPC / 74 BNS,public/private harassment incident,Synthetic-Template
WSL_0128,A man at the gym exposed himself to me in public.,0,1,0,0,0,0,354 IPC / 74 BNS,public/private harassment incident,Synthetic-Template
WSL_0129,My community vandalized my shop and left a threatening note.,0,0,0,0,0,1,"Case-specific, not clearly mapped",requires further context,Synthetic-Template
WSL_0130,A senior at college touched my hand inappropriately during a session.,0,1,0,0,0,0,354 IPC / 74 BNS,public/private harassment incident,Synthetic-Template
WSL_0131,My mother-in-law refuses to let me leave the house without permission. It happens almost every week.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0132,Someone created a fake dating profile using my pictures.,0,0,0,1,0,0,66E IT Act / 77 BNS,digital harassment/privacy violation,Synthetic-Template
WSL_0133,My stepfather does not let me contact my family. It has gotten worse in the last few months.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0134,My neighbor has been parking outside my workplace every evening.,0,0,1,0,0,0,354D IPC / 78 BNS,repeated unwanted contact/presence,Synthetic-Template
WSL_0135,My stepfather drags me by the hair whenever dinner is late. It has gotten worse in the last few months.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0136,A man at the gym tried to corner me and touch me against my will.,0,1,0,0,0,0,354 IPC / 74 BNS,public/private harassment incident,Synthetic-Template
WSL_0137,My team lead threatened a bad review if I didn't meet him outside work.,0,0,0,0,1,0,POSH Act Sec 2n,workplace harassment pattern,Synthetic-Template
WSL_0138,My landlord made suggestive comments while collecting money.,0,1,0,0,0,0,354 IPC / 74 BNS,public/private harassment incident,Synthetic-Template
WSL_0139,A stranger at the market exposed himself to me in public.,0,1,0,0,0,0,354 IPC / 74 BNS,public/private harassment incident,Synthetic-Template
WSL_0140,My husband and his mother restricts me from speaking to my friends. It has gotten worse in the last few months.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0141,A man on the bus made inappropriate comments during a private session.,0,1,0,0,0,0,354 IPC / 74 BNS,public/private harassment incident,Synthetic-Template
WSL_0142,My manager makes inappropriate comments about my appearance and excludes me from meetings when I object.,0,1,0,0,1,0,354A IPC / POSH Act,combined SH and WH,Synthetic-Template
WSL_0143,My ex-boyfriend found my home address and shows up unannounced.,0,0,1,0,0,0,354D IPC / 78 BNS,repeated unwanted contact/presence,Synthetic-Template
WSL_0144,My ex-partner is threatening to leak our private videos.,0,0,0,1,0,0,66E IT Act / 77 BNS,digital harassment/privacy violation,Synthetic-Template
WSL_0145,My landlord exposed himself to me in public.,0,1,0,0,0,0,354 IPC / 74 BNS,public/private harassment incident,Synthetic-Template
WSL_0146,My ex-boyfriend morphed my photos and circulated them in a group chat.,0,0,0,1,0,0,66E IT Act / 77 BNS,digital harassment/privacy violation,Synthetic-Template
WSL_0147,My neighbor tried to corner me and touch me against my will.,0,1,0,0,0,0,354 IPC / 74 BNS,public/private harassment incident,Synthetic-Template
WSL_0148,A client excludes me from meetings since I rejected his advances.,0,0,0,0,1,0,POSH Act Sec 2n,workplace harassment pattern,Synthetic-Template
WSL_0149,My landlord's men vandalized my shop and left a threatening note.,0,0,0,0,0,1,"Case-specific, not clearly mapped",requires further context,Synthetic-Template
WSL_0150,My supervisor touched me without consent in front of the entire team.,0,1,0,0,1,0,354A IPC / POSH Act,combined SH and WH,Synthetic-Template
WSL_0151,My in-laws throws things at me during arguments. It happens almost every week.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0152,A senior executive shared inappropriate content about me in the team group chat.,0,0,0,0,1,0,POSH Act Sec 2n,workplace harassment pattern,Synthetic-Template
WSL_0153,My landlord's men are threatening me over a property dispute.,0,0,0,0,0,1,"Case-specific, not clearly mapped",requires further context,Synthetic-Template
WSL_0154,My manager keeps making sexual jokes and threatens my job when I complain.,0,1,0,0,1,0,354A IPC / POSH Act,combined SH and WH,Synthetic-Template
WSL_0155,A man I rejected keeps following me everywhere I go and also created a fake profile to message me.,0,0,1,1,0,0,354D IPC / IT Act,combined ST and CA,Synthetic-Template
WSL_0156,A man I don't know keeps following me from college to my bus stop every day.,0,0,1,0,0,0,354D IPC / 78 BNS,repeated unwanted contact/presence,Synthetic-Template
WSL_0157,My mother-in-law keeps a knife in the house and threatens me with it. I am scared to go home most days now.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0158,My husband's family threatens to throw me out of the house. I am scared to go home most days now.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0159,A client keeps commenting on my appearance during meetings.,0,0,0,0,1,0,POSH Act Sec 2n,workplace harassment pattern,Synthetic-Template
WSL_0160,My team lead denied me a raise after I rejected his advances.,0,0,0,0,1,0,POSH Act Sec 2n,workplace harassment pattern,Synthetic-Template
WSL_0161,A classmate keeps messaging me obsessively despite being blocked.,0,0,1,0,0,0,354D IPC / 78 BNS,repeated unwanted contact/presence,Synthetic-Template
WSL_0162,A man I matched with online hacked my social media account.,0,0,0,1,0,0,66E IT Act / 77 BNS,digital harassment/privacy violation,Synthetic-Template
WSL_0163,A man in the metro catcalled and followed me for several blocks.,0,1,0,0,0,0,354 IPC / 74 BNS,public/private harassment incident,Synthetic-Template
WSL_0164,My father-in-law threatened to kill me if I told my parents. It happens almost every week.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0165,My father-in-law slaps me in front of the children. This started right after our marriage.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0166,A client makes sexual jokes directed at me in front of the team.,0,0,0,0,1,0,POSH Act Sec 2n,workplace harassment pattern,Synthetic-Template
WSL_0167,My husband and his mother drags me by the hair whenever dinner is late. It happens almost every week.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0168,My father-in-law verbally abuses me daily in front of relatives. This started right after our marriage.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0169,A client hinted that my promotion depends on personal favors.,0,0,0,0,1,0,POSH Act Sec 2n,workplace harassment pattern,Synthetic-Template
WSL_0170,My ex-boyfriend is spreading false rumors about me in group chats.,0,0,0,1,0,0,66E IT Act / 77 BNS,digital harassment/privacy violation,Synthetic-Template
WSL_0171,A classmate found my home address and shows up unannounced.,0,0,1,0,0,0,354D IPC / 78 BNS,repeated unwanted contact/presence,Synthetic-Template
WSL_0172,Someone from college tracks my location constantly and also created a fake profile to message me.,0,0,1,1,0,0,354D IPC / IT Act,combined ST and CA,Synthetic-Template
WSL_0173,A man in the metro exposed himself to me in public.,0,1,0,0,0,0,354 IPC / 74 BNS,public/private harassment incident,Synthetic-Template
WSL_0174,My ex-partner is posting fake defamatory comments about me publicly.,0,0,0,1,0,0,66E IT Act / 77 BNS,digital harassment/privacy violation,Synthetic-Template
WSL_0175,My husband pushed me down the stairs during a fight. I am scared to go home most days now.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0176,My physiotherapist tried to corner me and touch me against my will.,0,1,0,0,0,0,354 IPC / 74 BNS,public/private harassment incident,Synthetic-Template
WSL_0177,A former colleague watches my house through his window constantly.,0,0,1,0,0,0,354D IPC / 78 BNS,repeated unwanted contact/presence,Synthetic-Template
WSL_0178,An anonymous account sent me obscene images repeatedly and also threatened to find where I live.,0,1,0,1,0,0,509 IPC / IT Act Sec 67,combined SH and CA,Synthetic-Template
WSL_0179,A stranger online created a fake profile using my photos to message my friends.,0,0,0,1,0,0,66E IT Act / 77 BNS,digital harassment/privacy violation,Synthetic-Template
WSL_0180,A senior colleague makes inappropriate comments about my appearance in front of the entire team.,0,1,0,0,1,0,354A IPC / POSH Act,combined SH and WH,Synthetic-Template
WSL_0181,My neighbor forced himself on me despite me saying no clearly.,0,1,0,0,0,0,354 IPC / 74 BNS,public/private harassment incident,Synthetic-Template
WSL_0182,My stepfather pushed me down the stairs during a fight. This has been going on for over a year.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0183,My mother-in-law slaps me in front of the children.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0184,My mother-in-law burnt my hand during an argument. It happens almost every week.,1,0,0,0,0,0,498A IPC / 85 BNS,physical/verbal abuse pattern,Synthetic-Template
WSL_0185,A stranger online recorded me without consent and threatened to post it.,0,0,0,1,0,0,66E IT Act / 77 BNS,digital harassment/privacy violation,Synthetic-Template
WSL_0186,My ex-boyfriend created a fake dating profile using my pictures.,0,0,0,1,0,0,66E IT Act / 77 BNS,digital harassment/privacy violation,Synthetic-Template
