evaluation_split,evaluation_row_id,evaluation_label_set,best_train_row_id,best_train_label_set,cosine_similarity,evaluation_text_hash,best_train_text_hash,evaluation_text_preview,best_train_text_preview
validation,WSL_0587,DV,WSL_0884,DV,0.5867,9f01293b8541,e8807314c23c,my husband and his mother slaps me in front of the children.,my husband and his mother humiliates me in front of guests e
validation,WSL_0902,SH|CA,WSL_0579,SH|CA,0.7722,a425a76715b5,94fc86d23056,someone from my past sent me obscene images repeatedly despi,an anonymous account sent me obscene images repeatedly despi
validation,WSL_0673,SH,WSL_0003,SH,0.6996,441a98212d17,eeb25fa30fcc,my tuition teacher made sexual comments about me in front of,my landlord made sexual comments about me in front of others
validation,WSL_0120,DV,WSL_0430,DV,0.829,0a8d6e3500b6,00ea83873d01,my mother-in-law restricts me from speaking to my friends. t,my stepfather restricts me from speaking to my friends. this
validation,WSL_0054,CA,WSL_0635,CA,0.7768,b02229f56b9c,a40edce7b94e,someone from college is sending death threats through anonym,a man i rejected is sending death threats through anonymous 
validation,WSL_0152,WH,WSL_0607,WH,0.7815,53b061dc819e,ce02053fe2f6,a senior executive shared inappropriate content about me in ,a client shared inappropriate content about me in the team g
validation,WSL_0404,DV|CA,WSL_0327,DV|CA,0.8781,e22a8ba22583,4afa703a228d,my partner controls my finances and beats me and leaked inti,my husband controls my finances and beats me and leaked inti
validation,WSL_1079,ST|CA,WSL_1038,ST,0.2041,402972af9d47,4582c9396575,"ever since i rejected him, this man has been showing up wher","ever since i turned down his proposal, this man has been par"
validation,WSL_0208,SH,WSL_0480,SH,0.7437,3a0b5ac4a8ea,b9b7e2973c00,my driving instructor tried to corner me and touch me agains,my landlord tried to corner me and touch me against my will.
validation,WSL_0659,DV,WSL_0993,DV,0.8404,30e47c1323a5,3e5d4d1cd5ee,my husband and his mother locked me inside the house for day,my husband locked me inside the house for days. it happens a
validation,WSL_0975,SH,WSL_0223,SH,0.7108,a5dd28414926,73423997ec11,a stranger at the market touched me inappropriately and acte,my neighbor touched me inappropriately and acted like nothin
validation,WSL_0882,OV,WSL_0602,OV,0.8607,e207ce7805c4,2958e56ebc03,my relatives are threatening honor-based violence over my ma,my family are threatening honor-based violence over my marri
validation,WSL_0009,OV,WSL_0248,OV,0.7472,f065c6a1b501,b2f15acebe63,my community are threatening me over a property dispute.,my family are threatening me over a property dispute.
validation,WSL_0931,CA,WSL_0246,CA,0.8649,f20851fc51d6,9145fd1ca175,a man i rejected is threatening to leak my chats unless i pa,someone is threatening to leak my chats unless i pay money.
validation,WSL_0037,CA,WSL_0866,CA,0.8146,9f931d17b42d,c6465880a75a,a stranger online is threatening to post my private photos o,someone is threatening to post my private photos online.
validation,WSL_0453,WH,WSL_0518,WH,0.8969,3b7c0c658c69,449603bb256d,my internship supervisor insists on private one-on-one meeti,my supervisor insists on private one-on-one meetings.
validation,WSL_0652,OV,WSL_0228,OV,0.7578,9117b0dad0ef,7275583ff7d3,my landlord's men sent moneylenders to threaten me for repay,my family sent moneylenders to threaten me for repayment.
validation,WSL_0254,SH|CA,WSL_0778,SH|CA,0.8004,0c0fd00e1cac,bebf00f2e207,a stranger online made lewd comments about me publicly onlin,someone from my past made lewd comments about me publicly on
validation,WSL_0304,WH,WSL_0716,WH,0.9097,2d4acb8a8e80,c7bd0ab59b24,my internship supervisor threatened a bad review if i didn't,my supervisor threatened a bad review if i didn't meet him o
validation,WSL_0947,ST,WSL_0274,ST,0.6846,c3006204c4c9,0b9351042347,someone i rejected online keeps contacting my family members,a classmate keeps contacting my family members.
validation,WSL_0572,DV|CA,WSL_0782,DV|CA,0.8413,0d022e3e6368,6fba55903cc9,my husband hits me regularly and leaked intimate photos to m,my partner hits me regularly and leaked intimate photos to m
validation,WSL_0624,CA,WSL_0911,CA,0.7475,79b0e6f7fef6,f0f3695f5025,someone hacked my social media account.,a stranger online hacked my social media account.
validation,WSL_0820,DV,WSL_0175,DV,0.5434,26f1ed1afb4d,3a63f4b8d335,my husband broke my arm last year during a fight. i am scare,my husband pushed me down the stairs during a fight. i am sc
validation,WSL_1058,CA,WSL_0911,CA,0.2617,ede65de1133c,f0f3695f5025,a stranger online has figured out my daily schedule from my ,a stranger online hacked my social media account.
validation,WSL_0822,DV,WSL_0282,DV,0.9133,d697cb0e2936,4e3a6a14ce98,my father-in-law broke my arm last year during a fight. this,my brother-in-law broke my arm last year during a fight. thi
validation,WSL_0263,ST,WSL_0193,ST,0.7403,7a70fd71f928,296326c9d2cc,someone i rejected online watches my house through his windo,my neighbor watches my house through his window constantly.
validation,WSL_0611,DV,WSL_0873,DV,0.4532,c871cb0382e6,d6a9270d8abf,my husband starves me for days as punishment. this started r,my husband's family starves me for days as punishment. it ha
validation,WSL_0298,CA,WSL_0351,CA,0.7508,6710fdcf4455,19e2689c106e,a man i rejected keeps sending me abusive explicit messages.,a stranger online keeps sending me abusive explicit messages
validation,WSL_0415,OV,WSL_0256,OV,0.817,059174793156,c0354802e824,my community are pressuring me into a marriage i don't want.,my family are pressuring me into a marriage i don't want.
validation,WSL_0151,DV,WSL_0753,DV,0.6036,046b99aa8ab5,602370503914,my in-laws throws things at me during arguments. it happens ,my husband throws things at me during arguments.
validation,WSL_0910,DV,WSL_0056,DV,0.7272,506e474588f8,c781e23e42fa,my husband and his mother hits me whenever he comes home dru,my mother-in-law hits me whenever he comes home drunk.
validation,WSL_0779,CA,WSL_0829,CA,0.7774,f5b40a5c72d1,ef4123b6351a,my former colleague hacked my email to message my contacts i,someone hacked my email to message my contacts inappropriate
validation,WSL_0641,WH,WSL_0903,WH,0.8937,3306a2079477,f5e37f47090b,my internship supervisor shared inappropriate content about ,my supervisor shared inappropriate content about me in the t
validation,WSL_1023,SH,WSL_1006,DV,0.1089,addfbf14775f,435c55c016f7,this has happened more than once now — my building's securit,"yesterday my husband threw a chair at me during an argument,"
validation,WSL_0551,WH,WSL_0532,WH,0.8276,9e2192f91aa8,2691bf3cf491,my boss threatened a bad review if i didn't meet him outside,a coworker threatened a bad review if i didn't meet him outs
validation,WSL_0913,ST,WSL_0045,ST,0.7893,4b90ef68a47a,0f3576cd6896,a man i don't know left notes on my car every day for two we,a classmate left notes on my car every day for two weeks.
validation,WSL_0489,DV,WSL_0396,DV,0.6175,6bc8e8e50936,6a551c82a580,my in-laws hits me whenever he comes home drunk. this starte,my stepfather hits me whenever he comes home drunk.
validation,WSL_0711,OV,WSL_0308,OV,0.7115,0817fda6a593,dcb8e3d2e7a7,my landlord's men forced me into an early marriage.,my family forced me into an early marriage.
validation,WSL_0148,WH,WSL_0781,WH,0.7983,0fe45809bdac,c7eda12d50d8,a client excludes me from meetings since i rejected his adva,a coworker excludes me from meetings since i rejected his ad
validation,WSL_0147,SH,WSL_0480,SH,0.8005,b3a5601edf66,b9b7e2973c00,my neighbor tried to corner me and touch me against my will.,my landlord tried to corner me and touch me against my will.
validation,WSL_0834,CA,WSL_0999,CA,0.8256,6620eed287f2,d4f077cf8bf8,someone keeps sending me threatening messages after i stoppe,a man i rejected keeps sending me threatening messages after
validation,WSL_0346,DV,WSL_0589,DV,0.7073,f9fbe98285e0,153b51fbf315,my father-in-law controls all my money and won't let me work,my brother-in-law controls all my money and won't let me wor
validation,WSL_0856,SH,WSL_0645,SH,0.6426,fd4ea89a21b9,397fbb4a3e01,my driving instructor touched my hand inappropriately during,my neighbor touched my hand inappropriately during a session
validation,WSL_1027,SH,WSL_0266,SH,0.2021,138acab44f56,6a91c78792d5,i was at a religious gathering when an elderly man touched m,a delivery man touched me inappropriately and acted like not
validation,WSL_0660,ST,WSL_0619,ST,0.6983,e58c9ff5dee8,5d604d314715,a man i don't know tracks my location through mutual friends,a classmate tracks my location through mutual friends.
validation,WSL_0771,SH,WSL_0400,SH,0.7422,e9dd16daa1d9,183de3baa783,a man on the bus kept staring and making explicit comments.,a man on the street kept staring and making explicit comment
validation,WSL_0349,DV,WSL_0457,DV,0.6222,ce7a626198e0,e86dfa76a663,my stepfather broke my arm last year during a fight.,my in-laws broke my arm last year during a fight. this start
validation,WSL_0464,OV,WSL_0972,OV,0.8217,44c093aef4bc,3bd65d665431,my landlord's men are trying to evict me illegally with inti,my family are trying to evict me illegally with intimidation
validation,WSL_0326,ST,WSL_0085,ST,0.7879,f961e234f1d1,35081f75e297,my ex-boyfriend has been parking outside my workplace every ,a classmate has been parking outside my workplace every even
validation,WSL_0187,SH,WSL_0003,SH,0.7477,a4a913e2d020,eeb25fa30fcc,a delivery man made sexual comments about me in front of oth,my landlord made sexual comments about me in front of others
validation,WSL_0124,OV,WSL_0228,OV,0.7982,06795cd176e1,7275583ff7d3,my relatives sent moneylenders to threaten me for repayment.,my family sent moneylenders to threaten me for repayment.
validation,WSL_0986,SH,WSL_0912,SH,0.7566,6c6bc94891e8,fb01998011e8,a man on the street tried to start inappropriate conversatio,a man on the bus tried to start inappropriate conversations 
validation,WSL_0609,SH,WSL_0669,SH,0.7127,88a1bae832a1,90d7a102fe75,my neighbor made lewd comments about my body.,my landlord made lewd comments about my body.
validation,WSL_0144,CA,WSL_0846,CA,0.7916,8c41f5a1be11,29b112045216,my ex-partner is threatening to leak our private videos.,my ex-boyfriend is threatening to leak our private videos.
validation,WSL_0752,DV,WSL_0862,DV,0.6176,40a84a022b08,f7fc9c87813d,my husband's family pushed me down the stairs during a fight,my in-laws pushed me down the stairs during a fight.
validation,WSL_1066,WH,WSL_0319,WH,0.1204,1a19e4325b5d,2a6220525cfc,my internship coordinator has been sending increasingly pers,my internship supervisor sends me inappropriate messages on 
validation,WSL_0198,WH,WSL_0797,WH,0.7624,3fef082cf8cb,b77d7a358d72,a vendor at work insists on private one-on-one meetings.,a client insists on private one-on-one meetings.
validation,WSL_0610,SH,WSL_0645,SH,0.6372,5e87169d101a,397fbb4a3e01,a man in the metro touched my hand inappropriately during a ,my neighbor touched my hand inappropriately during a session
validation,WSL_0837,DV,WSL_0985,DV,0.6087,01678f2c9a62,ec4c74cf6043,my in-laws keeps demanding more dowry from my parents.,my stepfather keeps demanding more dowry from my parents. th
validation,WSL_0280,DV,WSL_0993,DV,0.8316,c80b0aebd418,3e5d4d1cd5ee,my mother-in-law locked me inside the house for days. it hap,my husband locked me inside the house for days. it happens a
validation,WSL_0294,SH,WSL_0181,SH,0.731,c92d6bf34bf4,9dbc679f9e09,a guest at a party forced himself on me despite me saying no,my neighbor forced himself on me despite me saying no clearl
validation,WSL_0960,WH,WSL_0683,WH,0.866,f58ae2df8e9b,c9e0855a3c23,a coworker keeps asking me to stay back late alone with him.,a client keeps asking me to stay back late alone with him.
validation,WSL_0401,ST,WSL_0653,ST,0.8032,28de4c0d2ab4,a43fb319463d,a man from my building keeps following me from college to my,a classmate keeps following me from college to my bus stop e
validation,WSL_0123,WH,WSL_0607,WH,0.7951,875a94863e16,ce02053fe2f6,my boss shared inappropriate content about me in the team gr,a client shared inappropriate content about me in the team g
validation,WSL_0184,DV,WSL_0713,DV,0.7984,7ce5c2fa8d1c,7d39f6bb213b,my mother-in-law burnt my hand during an argument. it happen,my husband's family burnt my hand during an argument. it hap
validation,WSL_0203,DV,WSL_0815,DV,0.7511,12a26dde2091,811ba5674c06,my mother-in-law threatened to kill me if i told my parents.,my stepfather threatened to kill me if i told my parents.
validation,WSL_0439,DV|CA,WSL_0119,DV|CA,0.8376,80f0be626b95,39b8537f9d3b,my partner physically abuses me and leaked intimate photos t,my husband physically abuses me and leaked intimate photos t
validation,WSL_0836,SH,WSL_0480,SH,0.7348,c43d99dcd0bd,b9b7e2973c00,a guest at a party tried to corner me and touch me against m,my landlord tried to corner me and touch me against my will.
validation,WSL_0247,SH,WSL_0645,SH,0.6916,cc9498506eb8,397fbb4a3e01,a delivery man touched my hand inappropriately during a sess,my neighbor touched my hand inappropriately during a session
validation,WSL_0416,DV,WSL_0325,DV,0.8797,36e62ba9de07,f4238e886004,my husband's family grabbed me by the hair and hit my head a,my mother-in-law grabbed me by the hair and hit my head agai
validation,WSL_1046,ST,WSL_1038,ST,0.1089,9fe4047596b1,4582c9396575,i feel like i'm being watched constantly — this man has memo,"ever since i turned down his proposal, this man has been par"
validation,WSL_0885,CA,WSL_0774,CA,0.7418,8a8039e5c500,6c2163547350,my ex-partner recorded me without consent and threatened to ,a man i rejected recorded me without consent and threatened 
validation,WSL_1034,SH,WSL_0008,SH,0.2093,c2ffa297b43f,6352d8273e4c,an older relative has started making comments about my body ,a relative at a family function made lewd comments about my 
validation,WSL_0889,CA,WSL_0829,CA,0.8131,bcd6ac5223da,ef4123b6351a,someone from college hacked my email to message my contacts ,someone hacked my email to message my contacts inappropriate
validation,WSL_1021,SH,WSL_0765,SH,0.1921,c4186f6cbc0a,2e25e7cfda2b,it happened on my way home from work — a man on a motorcycle,a man on the bus made lewd comments about my body.
validation,WSL_0130,SH,WSL_0645,SH,0.6509,3681331a605d,397fbb4a3e01,a senior at college touched my hand inappropriately during a,my neighbor touched my hand inappropriately during a session
validation,WSL_0638,SH,WSL_0271,SH,0.7303,1412a14fc2a3,baae21391ac4,a rickshaw driver tried to touch me before i managed to get ,a senior at college tried to touch me before i managed to ge
validation,WSL_0403,SH|CA,WSL_0471,SH|CA,0.7835,88f3d5afc080,283deab3c696,someone from my past sends me sexually explicit messages des,a stranger online sends me sexually explicit messages despit
validation,WSL_0906,OV,WSL_0799,OV,0.7794,a7a5757b4815,60324652539f,my landlord's men are threatening to harm me over a land dis,my family are threatening to harm me over a land dispute.
validation,WSL_0951,CA,WSL_0351,CA,0.7931,e5ce50c23e2b,19e2689c106e,a man i matched with online keeps sending me abusive explici,a stranger online keeps sending me abusive explicit messages
validation,WSL_0736,SH|CA,WSL_0178,SH|CA,0.8407,68d413557972,ff6d6c472052,a stranger online sent me obscene images repeatedly and also,an anonymous account sent me obscene images repeatedly and a
validation,WSL_0855,SH,WSL_0670,SH,0.6757,cae274a7b87e,8df7ad89d434,my tuition teacher groped me and disappeared into the crowd.,my neighbor groped me and disappeared into the crowd.
validation,WSL_1037,ST,WSL_0059,ST,0.2473,52dc549c64b1,a8faead40a1f,a man from my gym has started showing up at my workplace too,a man from my building has been showing up at every place i 
validation,WSL_0220,OV,WSL_0838,OV,0.7227,70b796a96dcb,871498f46e08,my in-laws ostracized my family after i filed a complaint.,a local group ostracized my family after i filed a complaint
validation,WSL_0642,ST,WSL_0585,ST,0.6379,7a4e7a6250a3,5f02d31d602a,a man i matched with on a dating app has started waiting out,a former colleague has started waiting outside my apartment 
validation,WSL_0002,ST|CA,WSL_0584,ST|CA,0.8585,8e42b6e67669,729a8908037f,my ex waits outside my house daily and also created a fake p,a man i rejected waits outside my house daily and also creat
validation,WSL_0870,DV|CA,WSL_0751,DV|CA,0.8614,571033e3b619,a28a537ebf29,my partner physically abuses me and is blackmailing me with ,my husband physically abuses me and is blackmailing me with 
validation,WSL_0929,SH,WSL_0833,SH,0.7352,38df67f50815,5b32f35b65ba,a delivery man pressed himself against me deliberately in a ,my neighbor pressed himself against me deliberately in a cro
validation,WSL_0081,ST,WSL_0494,ST,0.6318,8ecf48291937,099c999524cf,a man i don't know waits outside my house every morning.,my neighbor waits outside my house every morning.
validation,WSL_0625,WH,WSL_0166,WH,0.8288,c92f50c8abb4,8bfcdd983e85,a coworker makes sexual jokes directed at me in front of the,a client makes sexual jokes directed at me in front of the t
validation,WSL_0968,ST|CA,WSL_0852,ST|CA,0.8461,2d6e51b48b09,d9e7262825a7,a stranger online tracks my location constantly and also cre,a man i rejected tracks my location constantly and also crea
validation,WSL_0880,OV,WSL_0476,OV,0.8271,d46714ac75bc,a239b615ce64,my relatives are threatening my life over an inheritance dis,my family are threatening my life over an inheritance disput
validation,WSL_0387,DV,WSL_0158,DV,0.8497,f7814421f645,7ed7c41168a3,my husband and his mother threatens to throw me out of the h,my husband's family threatens to throw me out of the house. 
validation,WSL_1075,OV,WSL_1071,OV,0.1415,80af26a1568a,090c48cd0aa3,i've received anonymous threats after speaking publicly abou,"since i began a relationship my family disapproves of, i've "
validation,WSL_0807,ST,WSL_0085,ST,0.6853,44f93f49ed46,35081f75e297,a man i matched with on a dating app has been parking outsid,a classmate has been parking outside my workplace every even
validation,WSL_0510,SH,WSL_0833,SH,0.6965,b1e6c620a1ac,5b32f35b65ba,a man in the metro pressed himself against me deliberately i,my neighbor pressed himself against me deliberately in a cro
validation,WSL_0268,WH,WSL_0159,WH,0.7483,e1479e48c2d7,727194600e8a,a senior executive keeps commenting on my appearance during ,a client keeps commenting on my appearance during meetings.
validation,WSL_0944,DV|OV,WSL_0543,DV|OV,0.8649,fae375347901,906894f203be,my husband's family physically abuse me regularly and are th,my in-laws physically abuse me regularly and are threatening
validation,WSL_0442,CA,WSL_0671,CA,0.8423,59a9d0422024,4bf733d879ca,a stranger online hacked my email to message my contacts ina,a man i matched with online hacked my email to message my co
validation,WSL_0497,DV,WSL_0376,DV,0.9216,ea6ea50cd97a,051778911f88,my brother-in-law threatens to throw me out of the house. it,my mother-in-law threatens to throw me out of the house. it 
validation,WSL_0830,WH,WSL_0744,WH,0.8272,fb5ab64c7c31,a32ba9733112,a coworker keeps making comments implying i should be friend,a client keeps making comments implying i should be friendli
validation,WSL_0113,DV,WSL_0562,DV,0.8122,afd3c104b5ea,dd028aca57cc,my in-laws threatens to take away my children if i complain.,my husband threatens to take away my children if i complain.
validation,WSL_0692,DV|CA,WSL_0751,DV|CA,0.681,a54b509e9896,a28a537ebf29,my husband hits me regularly and is blackmailing me with our,my husband physically abuses me and is blackmailing me with 
validation,WSL_0233,OV,WSL_0741,OV,0.7722,f99f34ec750d,175592852740,my landlord's men tried to forcibly take me away from a publ,my relatives tried to forcibly take me away from a public pl
validation,WSL_1002,DV,WSL_0376,DV,0.3152,74fe34f3734b,051778911f88,"for the past few months, my mother-in-law has been starving ",my mother-in-law threatens to throw me out of the house. it 
validation,WSL_0608,CA,WSL_0998,CA,0.8313,423b141a2ae8,25e53c61cdd4,a man i rejected morphed my photos and circulated them in a ,someone morphed my photos and circulated them in a group cha
validation,WSL_0672,DV,WSL_0583,DV,0.7149,ff8c9bbaabd1,56b931002abc,my father-in-law threatens to take away my children if i com,my mother-in-law threatens to take away my children if i com
validation,WSL_0374,ST,WSL_0494,ST,0.7147,746d5944acd9,099c999524cf,a classmate waits outside my house every morning.,my neighbor waits outside my house every morning.
validation,WSL_0827,OV,WSL_0741,OV,0.8244,ef160910a439,175592852740,my family tried to forcibly take me away from a public place,my relatives tried to forcibly take me away from a public pl
validation,WSL_0664,WH,WSL_0701,WH,0.7523,bb468ef0bcf1,1e92d6c8199d,a client touched my shoulder inappropriately when alone.,my manager touched my shoulder inappropriately when alone.
validation,WSL_0974,ST,WSL_0758,ST,0.781,8c2862cd0a38,53cd22217329,my neighbor keeps calling me from different numbers.,a classmate keeps calling me from different numbers.
validation,WSL_0234,WH,WSL_0166,WH,0.7712,8819f36309a2,8bfcdd983e85,a vendor at work makes sexual jokes directed at me in front ,a client makes sexual jokes directed at me in front of the t
validation,WSL_0819,OV,WSL_0838,OV,0.7286,59cc89016285,871498f46e08,my relatives ostracized my family after i filed a complaint.,a local group ostracized my family after i filed a complaint
validation,WSL_0907,SH,WSL_0138,SH,0.717,5bb9fb32f114,f09d24791311,a rickshaw driver made suggestive comments while collecting ,my landlord made suggestive comments while collecting money.
validation,WSL_0677,OV,WSL_0514,OV,0.8129,692d414dc1a2,47b3db5513a5,a local group locked me in a room to stop me meeting someone,my family locked me in a room to stop me meeting someone.
validation,WSL_0318,SH,WSL_0223,SH,0.7308,071cdf113255,73423997ec11,my tuition teacher touched me inappropriately and acted like,my neighbor touched me inappropriately and acted like nothin
validation,WSL_0649,ST,WSL_0410,ST,0.7709,45a38056b006,a4b718f33f4e,someone i rejected online keeps messaging me obsessively des,my neighbor keeps messaging me obsessively despite being blo
validation,WSL_0411,SH,WSL_0191,SH,0.6122,1632f0a9187b,ae031ed04186,a man on the bus exposed himself to me in public.,a delivery man exposed himself to me in public.
validation,WSL_1028,SH,WSL_0869,SH,0.1147,60a739f7ba9f,e8ccb3028fb1,my cousin's husband has been making me uncomfortable at fami,a relative at a family function kept staring and making expl
validation,WSL_0710,OV,WSL_0838,OV,0.7207,f1b875a53b8b,871498f46e08,my community ostracized my family after i filed a complaint.,a local group ostracized my family after i filed a complaint
validation,WSL_0359,CA,WSL_0043,CA,0.7276,3aa7a9fcda6d,e2aad3be32a7,my former colleague is threatening to leak our private video,a stranger online is threatening to leak our private videos.
validation,WSL_0259,SH,WSL_0670,SH,0.7361,b0ef22dee5d7,8df7ad89d434,my landlord groped me and disappeared into the crowd.,my neighbor groped me and disappeared into the crowd.
validation,WSL_0745,WH,WSL_0544,WH,0.9072,aaa4655a3767,4c55517d9576,my supervisor keeps asking me to stay back late alone with h,my internship supervisor keeps asking me to stay back late a
validation,WSL_0628,WH,WSL_0994,WH,0.8456,cd698165eb4b,2e0987792405,a senior executive keeps asking me to stay back late alone w,a senior colleague keeps asking me to stay back late alone w
validation,WSL_0633,WH,WSL_0701,WH,0.6724,48a0605e52b8,1e92d6c8199d,a vendor at work touched my shoulder inappropriately when al,my manager touched my shoulder inappropriately when alone.
validation,WSL_0283,CA,WSL_0635,CA,0.7853,fd6d685b7626,a40edce7b94e,my ex-boyfriend is sending death threats through anonymous e,a man i rejected is sending death threats through anonymous 
validation,WSL_0377,SH,WSL_0341,SH,0.6861,bfd46a73b993,6f22ac6ac835,a man at the gym made suggestive comments while collecting m,a stranger at the market made suggestive comments while coll
validation,WSL_0385,CA,WSL_0959,CA,0.8422,a3a03c548743,4c0f0c754be7,a man i matched with online is sending me rape threats throu,a stranger online is sending me rape threats through anonymo
validation,WSL_0225,SH,WSL_0181,SH,0.7088,ea4cebe8c08f,9dbc679f9e09,a relative at a family function forced himself on me despite,my neighbor forced himself on me despite me saying no clearl
validation,WSL_1063,WH,WSL_0612,WH,0.2399,fffdf3e0d916,5032cb16d785,my manager makes jokes at my expense in front of clients tha,my manager makes sexual jokes directed at me in front of the
validation,WSL_0938,SH|CA,WSL_0498,SH|CA,0.8351,2359910092a4,197f3e85420e,a stranger online made lewd comments about me publicly onlin,an anonymous account made lewd comments about me publicly on
validation,WSL_0473,CA,WSL_0351,CA,0.7058,22ab70976092,19e2689c106e,my former colleague keeps sending me abusive explicit messag,a stranger online keeps sending me abusive explicit messages
validation,WSL_0348,SH,WSL_0145,SH,0.6781,bb76f7321185,c1d7d888b145,my neighbor exposed himself to me in public.,my landlord exposed himself to me in public.
validation,WSL_0506,SH,WSL_0145,SH,0.5742,f480631eda88,c1d7d888b145,a relative at a family function exposed himself to me in pub,my landlord exposed himself to me in public.
validation,WSL_0640,DV,WSL_0803,DV,0.675,6c6fb623accf,3808a7320661,my mother-in-law denies me medical treatment even when injur,my brother-in-law denies me medical treatment even when inju
validation,WSL_1082,SH|CA|WH,WSL_0223,SH,0.13,c2df503b7011,73423997ec11,a coworker touched me inappropriately during a work trip and,my neighbor touched me inappropriately and acted like nothin
validation,WSL_0798,WH,WSL_0701,WH,0.7589,03407b1de1f7,1e92d6c8199d,a coworker touched my shoulder inappropriately when alone.,my manager touched my shoulder inappropriately when alone.
validation,WSL_0340,ST|CA,WSL_0384,ST|CA,0.8598,b2a901e2e8d0,50b227887e9d,a stranger online keeps following me everywhere i go and now,a man i rejected keeps following me everywhere i go and now 
validation,WSL_0556,SH,WSL_0935,SH,0.7338,9b7154127e49,cb13381ba660,my neighbor tried to start inappropriate conversations repea,my landlord tried to start inappropriate conversations repea
validation,WSL_0620,DV,WSL_0694,DV,0.8832,b87b9f539da3,1ae8496afafd,my husband keeps a knife in the house and threatens me with ,my father-in-law keeps a knife in the house and threatens me
validation,WSL_0988,WH,WSL_0449,WH,0.8813,9ead50efccec,2c83c941f325,my internship supervisor excludes me from meetings since i r,my supervisor excludes me from meetings since i rejected his
validation,WSL_0926,SH,WSL_0603,SH,0.6139,51bb37d118a0,5791f91936e5,a guest at a party forcibly kissed me without my consent.,my physiotherapist forcibly kissed me without my consent.
validation,WSL_0646,SH,WSL_0595,SH,0.7596,5149ce0ef74f,f2b66aae2bb0,a man on the bus groped me and disappeared into the crowd.,a man on the street groped me and disappeared into the crowd
validation,WSL_0978,ST,WSL_0358,ST,0.7862,f8139a573ed0,da5cb4dbba73,my neighbor follows my car every day on my commute.,a classmate follows my car every day on my commute.
test,WSL_0557,WH,WSL_0159,WH,0.7446,d604ea05e7ea,727194600e8a,my team lead keeps commenting on my appearance during meetin,a client keeps commenting on my appearance during meetings.
