id,text,annotations
WSL_0334,A man on the bus catcalled and followed me for several blocks.,"bus -> LOCATION [13,16] | catcalled -> EVIDENCE [17,26] | for several blocks -> TIME_FREQ [43,61]"
WSL_0266,A delivery man touched me inappropriately and acted like nothing happened.,"delivery man -> PERP_REL [2,14] | touched me inappropriately -> EVIDENCE [15,41]"
WSL_0750,My in-laws humiliates me in front of guests every time they visit. It has gotten worse in the last few months.,"in-laws -> PERP_REL [3,10] | every time -> TIME_FREQ [44,54] | in the last few months -> TIME_FREQ [87,109]"
WSL_0089,My in-laws physically abuse me regularly and are threatening my life over property.,"in-laws -> PERP_REL [3,10] | physically abuse me -> EVIDENCE [11,30] | regularly -> TIME_FREQ [31,40] | threatening my life -> EVIDENCE [49,68]"
WSL_0735,My husband and his mother pushed me down the stairs during a fight. I am scared to go home most days now.,"husband -> PERP_REL [3,10] | pushed me down the stairs -> EVIDENCE [26,51] | home -> LOCATION [86,90] | most days -> TIME_FREQ [91,100]"
WSL_0071,My father-in-law pushed me down the stairs during a fight. This has been going on for over a year.,"father-in-law -> PERP_REL [3,16] | pushed me down the stairs -> EVIDENCE [17,42] | This has been going on for over a year -> TIME_FREQ [59,97]"
WSL_0712,My father-in-law keeps demanding more dowry from my parents. This started right after our marriage.,"father-in-law -> PERP_REL [3,16] | parents -> PERP_REL [52,59] | right after our marriage -> TIME_FREQ [74,98]"
WSL_0969,My team lead keeps making sexual jokes and excludes me from meetings when I object.,"team lead -> PERP_REL [3,12] | sexual jokes -> EVIDENCE [26,38]"
WSL_1012,My in-laws treat me like a servant and hit me whenever they feel the housework isn't done to their standard.,"in-laws -> PERP_REL [3,10] | hit me -> EVIDENCE [39,45] | house -> LOCATION [69,74] | work -> LOCATION [74,78]"
WSL_0299,My in-laws are threatening my life over an inheritance dispute.,"in-laws -> PERP_REL [3,10] | threatening my life -> EVIDENCE [15,34]"
WSL_1069,"My parents have been trying to force me into a marriage arrangement, and when I refused, they threatened to cut off all contact and support.","parents -> PERP_REL [3,10]"
WSL_0498,An anonymous account made lewd comments about me publicly online and knows personal details about me.,"lewd comments -> EVIDENCE [26,39] | online -> PLATFORM [58,64]"
WSL_0052,Someone from college leaked my private photos online.,"college -> LOCATION [13,20] | leaked my private photos -> EVIDENCE [21,45] | online -> PLATFORM [46,52]"
WSL_0945,My supervisor hinted that my promotion depends on personal favors.,"supervisor -> PERP_REL [3,13]"
WSL_0758,A classmate keeps calling me from different numbers.,"classmate -> PERP_REL [2,11]"
WSL_1064,"Since I turned down my supervisor's advances, I've noticed I'm being deliberately excluded from important projects.","supervisor -> PERP_REL [23,33]"
WSL_0561,My husband's family broke my arm last year during a fight. It has gotten worse in the last few months.,"husband's family -> PERP_REL [3,19] | broke my arm -> EVIDENCE [20,32] | last year -> TIME_FREQ [33,42] | in the last few months -> TIME_FREQ [79,101]"
WSL_0800,My brother-in-law restricts me from speaking to my friends. It happens almost every week.,"brother-in-law -> PERP_REL [3,17] | almost every week -> TIME_FREQ [71,88]"
WSL_0102,My father-in-law took my salary and gives me no money. It happens almost every week.,"father-in-law -> PERP_REL [3,16] | took my salary -> EVIDENCE [17,31] | almost every week -> TIME_FREQ [66,83]"
WSL_0606,Someone from my past sends me sexually explicit messages and also threatened to find where I live.,"sexually explicit messages -> EVIDENCE [30,56] | threatened to find where I live -> EVIDENCE [66,97]"
WSL_0725,A vendor at work keeps asking me to stay back late alone with him.,"vendor -> PERP_REL [2,8] | work -> LOCATION [12,16]"
WSL_0480,My landlord tried to corner me and touch me against my will.,"landlord -> PERP_REL [3,11] | tried to corner me -> EVIDENCE [12,30]"
WSL_0863,A man I rejected hacked my email to message my contacts inappropriately.,"email -> PLATFORM [27,32] | message -> PLATFORM [36,43]"
WSL_0221,A senior colleague makes sexual jokes directed at me in front of the team.,"senior colleague -> PERP_REL [2,18] | sexual jokes -> EVIDENCE [25,37]"
WSL_0320,My manager shared inappropriate content about me in the team group chat.,"manager -> PERP_REL [3,10] | inappropriate content -> EVIDENCE [18,39] | group chat -> PLATFORM [61,71]"
WSL_0310,An anonymous account is sending me rape threats through anonymous accounts.,"rape threats -> EVIDENCE [35,47] | anonymous accounts -> PLATFORM [56,74]"
WSL_0539,My husband's family humiliates me in front of guests every time they visit. This has been going on for over a year.,"husband's family -> PERP_REL [3,19] | every time -> TIME_FREQ [53,63] | This has been going on for over a year -> TIME_FREQ [76,114]"
WSL_0322,A guest at a party made suggestive comments while collecting money.,"party -> LOCATION [13,18] | suggestive comments -> EVIDENCE [24,43]"
WSL_0424,My husband burnt my hand during an argument. This has been going on for over a year.,"husband -> PERP_REL [3,10] | burnt my hand -> EVIDENCE [11,24] | This has been going on for over a year -> TIME_FREQ [45,83]"
WSL_0811,My father-in-law pushes and shoves me during every argument. I am scared to go home most days now.,"father-in-law -> PERP_REL [3,16] | pushes and shoves me -> EVIDENCE [17,37] | every argument -> TIME_FREQ [45,59] | home -> LOCATION [79,83] | most days -> TIME_FREQ [84,93]"
WSL_0756,My husband's family forced me to quit my job.,"husband's family -> PERP_REL [3,19]"
WSL_0761,My ex-boyfriend keeps following me from college to my bus stop every day.,"ex-boyfriend -> PERP_REL [3,15] | college -> LOCATION [40,47] | bus -> LOCATION [54,57] | every day -> TIME_FREQ [63,72]"
WSL_0698,A man I don't know keeps appearing uninvited wherever I mention I'll be.,NONE
WSL_0032,My stepfather forced me to sign over my property documents. This has been going on for over a year.,"stepfather -> PERP_REL [3,13] | property documents -> EVIDENCE [40,58] | This has been going on for over a year -> TIME_FREQ [60,98]"
WSL_0514,My family locked me in a room to stop me meeting someone.,"family -> PERP_REL [3,9] | locked me in a room -> EVIDENCE [10,29]"
WSL_0778,Someone from my past made lewd comments about me publicly online despite me blocking multiple accounts.,"lewd comments -> EVIDENCE [26,39] | online -> PLATFORM [58,64]"
WSL_0390,A stranger at the market forcibly kissed me without my consent.,"market -> LOCATION [18,24] | forcibly kissed me -> EVIDENCE [25,43]"
WSL_0478,My physiotherapist pressed himself against me deliberately in a crowd.,"physiotherapist -> PERP_REL [3,18] | pressed himself against me -> EVIDENCE [19,45] | crowd -> LOCATION [64,69]"
WSL_0395,My driving instructor made suggestive comments while collecting money.,"driving instructor -> PERP_REL [3,21] | suggestive comments -> EVIDENCE [27,46]"
WSL_0209,A relative at a family function tried to start inappropriate conversations repeatedly.,"relative -> PERP_REL [2,10] | family function -> LOCATION [16,31] | repeatedly -> TIME_FREQ [75,85]"
WSL_0287,My boss hinted that my promotion depends on personal favors.,"boss -> PERP_REL [3,7]"
WSL_1006,"Yesterday my husband threw a chair at me during an argument, and this isn't the first time something like this has happened.","Yesterday -> TIME_FREQ [0,9] | husband -> PERP_REL [13,20] | threw a chair at me -> EVIDENCE [21,40]"
WSL_0463,My father-in-law starves me for days as punishment. It happens almost every week.,"father-in-law -> PERP_REL [3,16] | starves me for days -> EVIDENCE [17,36] | almost every week -> TIME_FREQ [63,80]"
WSL_0476,My family are threatening my life over an inheritance dispute.,"family -> PERP_REL [3,9] | threatening my life -> EVIDENCE [14,33]"
WSL_1000,My community are threatening honor-based violence over my marriage choice.,"community -> PERP_REL [3,12]"
WSL_0114,A man from my building keeps calling me from different numbers.,"building -> LOCATION [14,22]"
WSL_0829,Someone hacked my email to message my contacts inappropriately.,"email -> PLATFORM [18,23] | message -> PLATFORM [27,34]"
WSL_0179,A stranger online created a fake profile using my photos to message my friends.,"online -> PLATFORM [11,17] | fake profile -> PLATFORM [28,40] | message -> PLATFORM [60,67]"
WSL_0487,My ex-partner is sending me rape threats through anonymous accounts.,"ex-partner -> PERP_REL [3,13] | rape threats -> EVIDENCE [28,40] | anonymous accounts -> PLATFORM [49,67]"
WSL_1081,"My in-laws have been physically abusive since my husband passed away, and they're now also threatening to take away my inheritance.","in-laws -> PERP_REL [3,10] | physically abusive -> EVIDENCE [21,39] | husband -> PERP_REL [49,56]"
WSL_0824,A man I matched with online leaked my private photos online.,"online -> PLATFORM [21,27] | leaked my private photos -> EVIDENCE [28,52] | online -> PLATFORM [53,59]"
WSL_0842,Someone I rejected online keeps appearing uninvited wherever I mention I'll be.,"online -> PLATFORM [19,25]"
WSL_0914,A man I rejected on a matrimonial site keeps messaging me obsessively despite being blocked.,"matrimonial site -> PLATFORM [22,38] | obsessively -> TIME_FREQ [58,69]"
WSL_0437,A man I rejected is sending me rape threats through anonymous accounts.,"rape threats -> EVIDENCE [31,43] | anonymous accounts -> PLATFORM [52,70]"
WSL_0702,A man in the metro touched me inappropriately and acted like nothing happened.,"metro -> LOCATION [13,18] | touched me inappropriately -> EVIDENCE [19,45]"
WSL_0936,A man on the street touched me inappropriately and acted like nothing happened.,"street -> LOCATION [13,19] | touched me inappropriately -> EVIDENCE [20,46]"
WSL_1003,I don't know what to do anymore — my husband hit me so hard last night that I could barely stand.,"husband -> PERP_REL [37,44] | hit me -> EVIDENCE [45,51] | last night -> TIME_FREQ [60,70]"
WSL_0108,My community tried to forcibly take me away from a public place.,"community -> PERP_REL [3,12] | public place -> LOCATION [51,63]"
WSL_1004,"Ever since I lost my job, my husband has become more controlling and hits me over the smallest things.","husband -> PERP_REL [29,36] | hits me -> EVIDENCE [69,76]"
WSL_0159,A client keeps commenting on my appearance during meetings.,"client -> PERP_REL [2,8]"
WSL_0540,My father-in-law forced me to sign over my property documents. This has been going on for over a year.,"father-in-law -> PERP_REL [3,16] | property documents -> EVIDENCE [43,61] | This has been going on for over a year -> TIME_FREQ [63,101]"
WSL_0276,An anonymous account made lewd comments about me publicly online and also threatened to find where I live.,"lewd comments -> EVIDENCE [26,39] | online -> PLATFORM [58,64] | threatened to find where I live -> EVIDENCE [74,105]"
WSL_0921,A client denied me a raise after I rejected his advances.,"client -> PERP_REL [2,8]"
WSL_0890,A senior executive sends me inappropriate messages on our work chat.,"senior executive -> PERP_REL [2,18] | inappropriate messages -> EVIDENCE [28,50] | work chat -> PLATFORM [58,67]"
WSL_0520,My father-in-law hits me whenever he comes home drunk. I am scared to go home most days now.,"father-in-law -> PERP_REL [3,16] | hits me -> EVIDENCE [17,24] | home -> LOCATION [43,47] | home -> LOCATION [73,77] | most days -> TIME_FREQ [78,87]"
WSL_0708,A guest at a party made inappropriate comments during a private session.,"party -> LOCATION [13,18] | inappropriate comments -> EVIDENCE [24,46]"
WSL_0060,My manager touched me without consent and threatens my job when I complain.,"manager -> PERP_REL [3,10] | touched me without consent -> EVIDENCE [11,37]"
WSL_0142,My manager makes inappropriate comments about my appearance and excludes me from meetings when I object.,"manager -> PERP_REL [3,10] | inappropriate comments -> EVIDENCE [17,39]"
WSL_0291,A man from my building keeps messaging me obsessively despite being blocked.,"building -> LOCATION [14,22] | obsessively -> TIME_FREQ [42,53]"
WSL_0977,A senior executive keeps making comments implying I should be friendlier.,"senior executive -> PERP_REL [2,18]"
WSL_0448,A coworker made inappropriate physical contact during training.,"coworker -> PERP_REL [2,10] | made inappropriate physical contact -> EVIDENCE [11,46] | train -> LOCATION [54,59]"
WSL_1008,My father-in-law shouted at me and hit me on the head when I couldn't finish the housework on time.,"father-in-law -> PERP_REL [3,16] | hit me on the head -> EVIDENCE [35,53] | house -> LOCATION [81,86] | work -> LOCATION [86,90]"
WSL_0888,My in-laws tried to forcibly take me away from a public place.,"in-laws -> PERP_REL [3,10] | public place -> LOCATION [49,61]"
WSL_0024,My team lead makes inappropriate comments about my appearance and excludes me from meetings when I object.,"team lead -> PERP_REL [3,12] | inappropriate comments -> EVIDENCE [19,41]"
WSL_1040,"He somehow always knows where I am, even places I haven't posted about online — I think he's been tracking me somehow.","online -> PLATFORM [71,77]"
WSL_0741,My relatives tried to forcibly take me away from a public place.,"relatives -> PERP_REL [3,12] | public place -> LOCATION [51,63]"
WSL_0515,My husband's family have been cruel to me since marriage and are threatening my life over property.,"husband's family -> PERP_REL [3,19] | since marriage -> TIME_FREQ [42,56] | threatening my life -> EVIDENCE [65,84]"
WSL_0199,A man I don't know keeps messaging me obsessively despite being blocked.,"obsessively -> TIME_FREQ [38,49]"
WSL_0537,Someone is posting fake defamatory comments about me publicly.,"fake defamatory comments -> EVIDENCE [19,43]"
WSL_0697,My in-laws slaps me in front of the children.,"in-laws -> PERP_REL [3,10] | slaps me -> EVIDENCE [11,19]"
WSL_0928,My ex-boyfriend keeps sending me abusive explicit messages.,"ex-boyfriend -> PERP_REL [3,15] | abusive explicit messages -> EVIDENCE [33,58]"
WSL_0452,My team lead makes sexual jokes directed at me in front of the team.,"team lead -> PERP_REL [3,12] | sexual jokes -> EVIDENCE [19,31]"
WSL_0084,My neighbor appears at my gym at the exact same time every day.,"neighbor -> PERP_REL [3,11] | gym -> LOCATION [26,29] | exact same time every day -> TIME_FREQ [37,62]"
WSL_0110,My team lead hinted that my promotion depends on personal favors.,"team lead -> PERP_REL [3,12]"
WSL_0768,A rickshaw driver kept staring and making explicit comments.,"rickshaw driver -> PERP_REL [2,17] | explicit comments -> EVIDENCE [42,59]"
WSL_0193,My neighbor watches my house through his window constantly.,"neighbor -> PERP_REL [3,11] | house -> LOCATION [23,28] | constantly -> TIME_FREQ [48,58]"
WSL_0915,An anonymous account hacked my email to message my contacts inappropriately.,"email -> PLATFORM [31,36] | message -> PLATFORM [40,47]"
WSL_0454,My stepfather throws things at me during arguments. This started right after our marriage.,"stepfather -> PERP_REL [3,13] | throws things at me -> EVIDENCE [14,33] | right after our marriage -> TIME_FREQ [65,89]"
WSL_0232,A vendor at work threatened a bad review if I didn't meet him outside work.,"vendor -> PERP_REL [2,8] | work -> LOCATION [12,16] | work -> LOCATION [70,74]"
WSL_0347,Someone from college is threatening to post my private photos online.,"college -> LOCATION [13,20] | threatening to post -> EVIDENCE [24,43] | private photos -> EVIDENCE [47,61] | online -> PLATFORM [62,68]"
WSL_0479,A delivery man tried to start inappropriate conversations repeatedly.,"delivery man -> PERP_REL [2,14] | repeatedly -> TIME_FREQ [58,68]"
WSL_0378,Someone from college keeps sending me threatening messages after I stopped replying.,"college -> LOCATION [13,20] | threatening messages -> EVIDENCE [38,58]"
WSL_0050,My relatives locked me in a room to stop me meeting someone.,"relatives -> PERP_REL [3,12] | locked me in a room -> EVIDENCE [13,32]"
WSL_0211,My manager keeps commenting on my appearance during meetings.,"manager -> PERP_REL [3,10]"
WSL_0356,My mother-in-law verbally abuses me daily in front of relatives. It happens almost every week.,"mother-in-law -> PERP_REL [3,16] | bus -> LOCATION [27,30] | daily -> TIME_FREQ [36,41] | relatives -> PERP_REL [54,63] | almost every week -> TIME_FREQ [76,93]"
WSL_0619,A classmate tracks my location through mutual friends.,"classmate -> PERP_REL [2,11]"
WSL_0210,My ex-partner is spreading false rumors about me in group chats.,"ex-partner -> PERP_REL [3,13] | false rumors about me -> EVIDENCE [27,48] | group chat -> PLATFORM [52,62]"
WSL_0077,A local group sent moneylenders to threaten me for repayment.,"local group -> PERP_REL [2,13] | moneylenders -> PERP_REL [19,31]"
WSL_0600,My physiotherapist touched me inappropriately and acted like nothing happened.,"physiotherapist -> PERP_REL [3,18] | touched me inappropriately -> EVIDENCE [19,45]"
WSL_0011,My in-laws have been cruel to me since marriage and have threatened my family over an inheritance dispute.,"in-laws -> PERP_REL [3,10] | since marriage -> TIME_FREQ [33,47] | family -> PERP_REL [71,77]"
WSL_0952,My team lead touched me without consent in front of the entire team.,"team lead -> PERP_REL [3,12] | touched me without consent -> EVIDENCE [13,39]"
WSL_0787,Someone from my past sent me obscene images repeatedly and also threatened to find where I live.,"obscene images -> EVIDENCE [29,43] | repeatedly -> TIME_FREQ [44,54] | threatened to find where I live -> EVIDENCE [64,95]"
WSL_0337,A senior at college made lewd comments about my body.,"college -> LOCATION [12,19] | lewd comments -> EVIDENCE [25,38]"
WSL_0307,A delivery man forcibly kissed me without my consent.,"delivery man -> PERP_REL [2,14] | forcibly kissed me -> EVIDENCE [15,33]"
WSL_0586,My former colleague is threatening to post my private photos online.,"former colleague -> PERP_REL [3,19] | threatening to post -> EVIDENCE [23,42] | private photos -> EVIDENCE [46,60] | online -> PLATFORM [61,67]"
WSL_0627,My physiotherapist touched my hand inappropriately during a session.,"physiotherapist -> PERP_REL [3,18] | touched my hand inappropriately -> EVIDENCE [19,50]"
WSL_0909,My boss cornered me in the pantry inappropriately.,"boss -> PERP_REL [3,7] | cornered me -> EVIDENCE [8,19] | pantry -> LOCATION [27,33]"
WSL_0421,My driving instructor made lewd comments about my body.,"driving instructor -> PERP_REL [3,21] | lewd comments -> EVIDENCE [27,40]"
WSL_0428,A delivery man kept staring and making explicit comments.,"delivery man -> PERP_REL [2,14] | explicit comments -> EVIDENCE [39,56]"
WSL_1078,"A senior colleague made inappropriate comments about my appearance for months, and when I complained, my manager quietly reduced my responsibilities.","senior colleague -> PERP_REL [2,18] | inappropriate comments -> EVIDENCE [24,46] | for months -> TIME_FREQ [67,77] | manager -> PERP_REL [105,112]"
WSL_0612,My manager makes sexual jokes directed at me in front of the team.,"manager -> PERP_REL [3,10] | sexual jokes -> EVIDENCE [17,29]"
WSL_0500,A delivery man catcalled and followed me for several blocks.,"delivery man -> PERP_REL [2,14] | catcalled -> EVIDENCE [15,24] | for several blocks -> TIME_FREQ [41,59]"
WSL_0576,My manager hinted that my promotion depends on personal favors.,"manager -> PERP_REL [3,10]"
WSL_0645,My neighbor touched my hand inappropriately during a session.,"neighbor -> PERP_REL [3,11] | touched my hand inappropriately -> EVIDENCE [12,43]"
WSL_0569,My ex-boyfriend keeps sending me threatening messages after I stopped replying.,"ex-boyfriend -> PERP_REL [3,15] | threatening messages -> EVIDENCE [33,53]"
WSL_0508,A relative at a family function groped me and disappeared into the crowd.,"relative -> PERP_REL [2,10] | family function -> LOCATION [16,31] | groped me -> EVIDENCE [32,41] | crowd -> LOCATION [67,72]"
WSL_1031,My apartment complex's plumber made an inappropriate comment about my appearance and refused to leave when I asked him to.,"apartment -> LOCATION [3,12] | plumber -> PERP_REL [23,30]"
WSL_0429,A man I matched with online morphed my photos and circulated them in a group chat.,"online -> PLATFORM [21,27] | morphed my photos -> EVIDENCE [28,45] | group chat -> PLATFORM [71,81]"
WSL_0705,My landlord's men are pressuring me into a marriage I don't want.,"landlord -> PERP_REL [3,11]"
WSL_0271,A senior at college tried to touch me before I managed to get away.,"college -> LOCATION [12,19] | tried to touch me -> EVIDENCE [20,37]"
WSL_0261,My husband and his mother broke my arm last year during a fight. This started right after our marriage.,"husband -> PERP_REL [3,10] | broke my arm -> EVIDENCE [26,38] | last year -> TIME_FREQ [39,48] | right after our marriage -> TIME_FREQ [78,102]"
WSL_0887,A local group tried to forcibly take me away from a public place.,"local group -> PERP_REL [2,13] | public place -> LOCATION [52,64]"
WSL_0446,A rickshaw driver tried to start inappropriate conversations repeatedly.,"rickshaw driver -> PERP_REL [2,17] | repeatedly -> TIME_FREQ [61,71]"
WSL_0079,My ex-boyfriend leaked my private photos online.,"ex-boyfriend -> PERP_REL [3,15] | leaked my private photos -> EVIDENCE [16,40] | online -> PLATFORM [41,47]"
WSL_0821,My manager touched me without consent in front of the entire team.,"manager -> PERP_REL [3,10] | touched me without consent -> EVIDENCE [11,37]"
WSL_0815,My stepfather threatened to kill me if I told my parents.,"stepfather -> PERP_REL [3,13] | threatened to kill me -> EVIDENCE [14,35] | parents -> PERP_REL [49,56]"
WSL_0905,My neighbor catcalled and followed me for several blocks.,"neighbor -> PERP_REL [3,11] | catcalled -> EVIDENCE [12,21] | for several blocks -> TIME_FREQ [38,56]"
WSL_0175,My husband pushed me down the stairs during a fight. I am scared to go home most days now.,"husband -> PERP_REL [3,10] | pushed me down the stairs -> EVIDENCE [11,36] | home -> LOCATION [71,75] | most days -> TIME_FREQ [76,85]"
WSL_0238,My internship supervisor denied me a raise after I rejected his advances.,"internship supervisor -> PERP_REL [3,24]"
WSL_0040,A man from my building keeps appearing uninvited wherever I mention I'll be.,"building -> LOCATION [14,22]"
WSL_0031,A rickshaw driver touched my hand inappropriately during a session.,"rickshaw driver -> PERP_REL [2,17] | touched my hand inappropriately -> EVIDENCE [18,49]"
WSL_0786,A former colleague left notes on my car every day for two weeks.,"former colleague -> PERP_REL [2,18] | notes on my car -> EVIDENCE [24,39] | every day -> TIME_FREQ [40,49] | for two weeks -> TIME_FREQ [50,63]"
WSL_0137,My team lead threatened a bad review if I didn't meet him outside work.,"team lead -> PERP_REL [3,12] | work -> LOCATION [66,70]"
WSL_0055,My stepfather slaps me in front of the children. It happens almost every week.,"stepfather -> PERP_REL [3,13] | slaps me -> EVIDENCE [14,22] | almost every week -> TIME_FREQ [60,77]"
WSL_0784,A senior colleague keeps making sexual jokes in front of the entire team.,"senior colleague -> PERP_REL [2,18] | sexual jokes -> EVIDENCE [32,44]"
WSL_0278,A senior at college forced himself on me despite me saying no clearly.,"college -> LOCATION [12,19] | forced himself on me -> EVIDENCE [20,40]"
WSL_0719,My in-laws hit me with a belt over a small disagreement. This started right after our marriage.,"in-laws -> PERP_REL [3,10] | hit me with a belt -> EVIDENCE [11,29] | right after our marriage -> TIME_FREQ [70,94]"
WSL_0923,My former colleague morphed my photos and circulated them in a group chat.,"former colleague -> PERP_REL [3,19] | morphed my photos -> EVIDENCE [20,37] | group chat -> PLATFORM [63,73]"
WSL_0352,A senior colleague touched my shoulder inappropriately when alone.,"senior colleague -> PERP_REL [2,18] | touched my shoulder inappropriately -> EVIDENCE [19,54]"
WSL_0245,My supervisor sends me inappropriate messages on our work chat.,"supervisor -> PERP_REL [3,13] | inappropriate messages -> EVIDENCE [23,45] | work chat -> PLATFORM [53,62]"
WSL_0004,A former colleague waits outside my house every morning.,"former colleague -> PERP_REL [2,18] | house -> LOCATION [36,41] | every morning -> TIME_FREQ [42,55]"
WSL_0440,A stranger online is threatening to leak my chats unless I pay money.,"online -> PLATFORM [11,17] | threatening to leak -> EVIDENCE [21,40] | chats -> PLATFORM [44,49]"
WSL_0528,A senior executive hinted that my promotion depends on personal favors.,"senior executive -> PERP_REL [2,18]"
WSL_1056,Someone recorded a video call with me without my consent and has been threatening to circulate it among my colleagues.,"colleague -> PERP_REL [107,116]"
WSL_0694,My father-in-law keeps a knife in the house and threatens me with it. It has gotten worse in the last few months.,"father-in-law -> PERP_REL [3,16] | house -> LOCATION [38,43] | in the last few months -> TIME_FREQ [90,112]"
WSL_0833,My neighbor pressed himself against me deliberately in a crowd.,"neighbor -> PERP_REL [3,11] | pressed himself against me -> EVIDENCE [12,38] | crowd -> LOCATION [57,62]"
WSL_0319,My internship supervisor sends me inappropriate messages on our work chat.,"internship supervisor -> PERP_REL [3,24] | inappropriate messages -> EVIDENCE [34,56] | work chat -> PLATFORM [64,73]"
WSL_1016,"Three months into my marriage, my husband already started controlling every aspect of my life and becomes physically aggressive if I object.","Three months into my marriage -> TIME_FREQ [0,29] | husband -> PERP_REL [34,41] | physically aggressive -> EVIDENCE [106,127]"
WSL_0059,"A man from my building has been showing up at every place I go, including work.","building -> LOCATION [14,22] | every place I go, including work -> TIME_FREQ [46,78]"
WSL_0064,A guest at a party kept staring and making explicit comments.,"party -> LOCATION [13,18] | explicit comments -> EVIDENCE [43,60]"
WSL_0300,My neighbor kept staring and making explicit comments.,"neighbor -> PERP_REL [3,11] | explicit comments -> EVIDENCE [36,53]"
WSL_0351,A stranger online keeps sending me abusive explicit messages.,"online -> PLATFORM [11,17] | abusive explicit messages -> EVIDENCE [35,60]"
WSL_0101,A man in the metro made sexual comments about me in front of others.,"metro -> LOCATION [13,18] | sexual comments -> EVIDENCE [24,39]"
WSL_0169,A client hinted that my promotion depends on personal favors.,"client -> PERP_REL [2,8]"
WSL_0523,A stranger online morphed my photos and circulated them in a group chat.,"online -> PLATFORM [11,17] | morphed my photos -> EVIDENCE [18,35] | group chat -> PLATFORM [61,71]"
WSL_0343,A man I matched with on a dating app left notes on my car every day for two weeks.,"dating app -> PLATFORM [26,36] | notes on my car -> EVIDENCE [42,57] | every day -> TIME_FREQ [58,67] | for two weeks -> TIME_FREQ [68,81]"
