test_row_id,narrative_hash,ground_truth_labels,predicted_labels,classification_exact_match,classification_partial_match,ner_entities,legal_results_count,legal_grounded,unsupported_legal_claim_detected,anti_hallucination_pass,follow_up_required,final_report_generated,pipeline_status
WSL_0864,9321e37fbf77988f,SH|CA,CA,False,True,PLATFORM:1|TIME_FREQ:1,5,True,False,True,False,True,SUCCESS
WSL_0575,112cdc0bd392de82,CA,CA,True,True,PLATFORM:2,5,True,False,True,False,True,SUCCESS
WSL_0691,2bcf2f8a9ad97302,OV,,False,False,NONE,0,True,False,True,False,True,CLASSIFICATION_ERROR
WSL_0461,cd3d1fe1632a886e,CA,CA,True,True,PLATFORM:1,5,True,False,True,False,True,SUCCESS
WSL_0892,112fc00b100ff721,DV,DV,True,True,PERP_REL:1|TIME_FREQ:1,8,True,False,True,False,True,SUCCESS
WSL_0554,856d207e773b1dd2,SH,SH,True,True,PERP_REL:1,8,True,False,True,False,True,SUCCESS
WSL_0858,e26f33af0a4ae488,DV,DV,True,True,PERP_REL:1|TIME_FREQ:1,8,True,False,True,False,True,SUCCESS
WSL_1011,2ce39c9180199de7,DV,DV,True,True,PERP_REL:1|TIME_FREQ:1,8,True,False,True,False,True,SUCCESS
WSL_0207,3341db154d1c6ce3,WH,CA|WH,False,True,PERP_REL:1,10,True,False,True,False,True,SUCCESS
WSL_0393,10bccb7c2abc60b5,ST,ST,True,True,PLATFORM:1|LOCATION:1|TIME_FREQ:1,3,True,False,True,False,True,SUCCESS
WSL_0795,753e187a0d395b56,SH|CA,CA,False,True,PLATFORM:1,5,True,False,True,False,True,SUCCESS
WSL_0871,9e37a049f91da2a6,SH,SH,True,True,NONE,8,True,False,True,False,True,SUCCESS
WSL_0398,a463b3c1b831aea2,SH,SH,True,True,PERP_REL:1,8,True,False,True,False,True,SUCCESS
WSL_0767,fbc3c6c404bb4b05,OV,DV,False,False,PERP_REL:1,8,True,False,True,False,True,CLASSIFICATION_ERROR
WSL_0980,395e4ddf18b9e973,SH,SH|WH,False,True,NONE,13,True,False,True,False,True,SUCCESS
WSL_0218,1240aadc08593b25,SH,SH,True,True,NONE,8,True,False,True,False,True,SUCCESS
WSL_0005,2a36376c70556afc,ST,ST,True,True,PLATFORM:1|TIME_FREQ:2,3,True,False,True,False,True,SUCCESS
WSL_0769,6224d89fee172b66,SH|CA,CA,False,True,PLATFORM:1,5,True,False,True,False,True,SUCCESS
WSL_0643,4a0d1a17817a26ba,SH,SH,True,True,PERP_REL:1,8,True,False,True,False,True,SUCCESS
WSL_0462,d893a18a44b7d16f,CA,CA,True,True,PERP_REL:1,5,True,False,True,False,True,SUCCESS
WSL_0943,beed895cb58b3f9e,CA,CA,True,True,PERP_REL:1|PLATFORM:2,5,True,False,True,False,True,SUCCESS
WSL_0613,328f63b3f9d3595b,SH,SH,True,True,NONE,8,True,False,True,False,True,SUCCESS
WSL_0739,8bef29001d26a263,DV,DV,True,True,PERP_REL:1|LOCATION:1|TIME_FREQ:1,8,True,False,True,False,True,SUCCESS
WSL_0961,0c846e87bb30dfdf,DV,DV,True,True,PERP_REL:1|LOCATION:1|TIME_FREQ:1,8,True,False,True,False,True,SUCCESS
WSL_0547,4815eef909eb54f2,DV,DV,True,True,PERP_REL:1|TIME_FREQ:1,8,True,False,True,False,True,SUCCESS
WSL_0726,bdaae17be092395b,ST,ST,True,True,PERP_REL:1,3,True,False,True,False,True,SUCCESS
WSL_1080,bb0e3d44fbb43636,SH|CA,CA,False,True,TIME_FREQ:1|LOCATION:1,5,True,False,True,False,True,SUCCESS
WSL_0684,afad3a6e39c3489f,ST|CA,CA,False,True,PERP_REL:1|PLATFORM:2,5,True,False,True,False,True,SUCCESS
WSL_0099,3d3e8b5d5ecc1398,DV,DV,True,True,PERP_REL:1|TIME_FREQ:1,8,True,False,True,False,True,SUCCESS
WSL_0805,44069b15ad41fbe3,SH,SH,True,True,NONE,8,True,False,True,False,True,SUCCESS
WSL_0728,61d55e483ad1fdb8,DV,,False,False,PERP_REL:1|TIME_FREQ:1,0,True,False,True,False,True,CLASSIFICATION_ERROR
WSL_0574,7196c4332c8e9790,ST,ST,True,True,PLATFORM:1,3,True,False,True,False,True,SUCCESS
WSL_0407,790578781f357b21,DV,DV,True,True,PERP_REL:1|LOCATION:1|TIME_FREQ:1,8,True,False,True,False,True,SUCCESS
WSL_0503,8069c711d4063e35,WH,WH,True,True,NONE,5,True,False,True,False,True,SUCCESS
WSL_0048,5ef74265f22ef299,CA,CA,True,True,PLATFORM:1,5,True,False,True,False,True,SUCCESS
WSL_0033,96db85cfee517969,ST,ST,True,True,PERP_REL:1|LOCATION:1,3,True,False,True,False,True,SUCCESS
WSL_0930,c0a142e7db7ec784,SH,SH,True,True,PERP_REL:1,8,True,False,True,False,True,SUCCESS
WSL_0780,b50fddc5617d29f6,SH|WH,WH,False,True,PERP_REL:1,5,True,False,True,False,True,SUCCESS
WSL_0840,3e9535fd467cbb9d,CA,CA,True,True,PLATFORM:3,5,True,False,True,False,True,SUCCESS
WSL_0201,b9feb4c2fac32823,DV,DV,True,True,PERP_REL:1|LOCATION:1|TIME_FREQ:1,8,True,False,True,False,True,SUCCESS
WSL_0135,ce9c79c6e9e800d3,DV,DV,True,True,PERP_REL:1|TIME_FREQ:1,8,True,False,True,False,True,SUCCESS
WSL_0028,d206b0b536b8c39c,SH,SH,True,True,NONE,8,True,False,True,False,True,SUCCESS
WSL_1013,02a0fe0d1d4283ee,DV,,False,False,PERP_REL:1|TIME_FREQ:1,0,True,False,True,False,True,CLASSIFICATION_ERROR
WSL_0231,ef5d33d251958f71,SH,SH,True,True,LOCATION:1,8,True,False,True,False,True,SUCCESS
WSL_0490,c1ebde1fa2c2a03d,DV,DV,True,True,PERP_REL:1|TIME_FREQ:1,8,True,False,True,False,True,SUCCESS
WSL_0773,912c737d27f244af,CA,CA,True,True,NONE,5,True,False,True,False,True,SUCCESS
WSL_0379,aac49beb7ee4f6c8,SH,SH,True,True,PERP_REL:1,8,True,False,True,False,True,SUCCESS
WSL_0289,8d72f0826b2e9ccc,SH,SH,True,True,TIME_FREQ:1,8,True,False,True,False,True,SUCCESS
WSL_0419,3552ea3e4386057f,DV,DV,True,True,PERP_REL:1,8,True,False,True,False,True,SUCCESS
WSL_0675,8fb34be77449a71f,DV,DV,True,True,PERP_REL:1|TIME_FREQ:1,8,True,False,True,False,True,SUCCESS
WSL_0392,f06835269fcc81cc,SH,SH,True,True,NONE,8,True,False,True,False,True,SUCCESS
WSL_0593,8654adbe2d92ee5d,CA,CA,True,True,PLATFORM:1,5,True,False,True,False,True,SUCCESS
WSL_0499,1c8adf89a50964b1,DV,DV,True,True,PERP_REL:1|TIME_FREQ:1,8,True,False,True,False,True,SUCCESS
WSL_0139,f3cb1f50452fd6e9,SH,SH,True,True,NONE,8,True,False,True,False,True,SUCCESS
WSL_0063,4311a2da0f39524e,ST,ST,True,True,NONE,3,True,False,True,False,True,SUCCESS
WSL_0472,93175308006cc973,OV,OV,True,True,PERP_REL:1,1,True,False,True,False,True,SUCCESS
WSL_0648,08002bb8760bcf79,SH|CA,CA,False,True,NONE,5,True,False,True,False,True,SUCCESS
WSL_0129,a5e858d55cb71e8d,OV,OV,True,True,NONE,1,True,False,True,False,True,SUCCESS
WSL_1077,3924cbaf907a65d9,DV|CA,,False,False,PERP_REL:1|TIME_FREQ:2,0,True,False,True,False,True,CLASSIFICATION_ERROR
WSL_0521,14ac5c23b20c52da,ST,,False,False,LOCATION:1,0,True,False,True,False,True,CLASSIFICATION_ERROR
WSL_0839,297102a3fee36e02,WH,WH,True,True,PERP_REL:1,5,True,False,True,False,True,SUCCESS
WSL_1068,d325583c2e05bdd4,WH,WH,True,True,NONE,5,True,False,True,False,True,SUCCESS
WSL_0065,e3a7705fdaa2f5c1,CA,CA,True,True,PERP_REL:1,5,True,False,True,False,True,SUCCESS
WSL_0813,fc68ac84cd99ee1a,SH,SH,True,True,NONE,8,True,False,True,False,True,SUCCESS
WSL_0015,24dcd66401bda16c,SH,SH,True,True,PERP_REL:1,8,True,False,True,False,True,SUCCESS
WSL_0157,7eb18a073973043b,DV,DV,True,True,PERP_REL:1|LOCATION:2|TIME_FREQ:1,8,True,False,True,False,True,SUCCESS
WSL_0041,eb2fa2cccbfa4e52,WH,WH,True,True,PERP_REL:1,5,True,False,True,False,True,SUCCESS
WSL_0493,06e083c8b7154b25,ST,ST,True,True,LOCATION:2,3,True,False,True,False,True,SUCCESS
WSL_0380,f49074d06aef6051,ST,ST,True,True,PERP_REL:1|LOCATION:1|TIME_FREQ:1,3,True,False,True,False,True,SUCCESS
WSL_0188,4ad7d471af5237fb,DV,DV,True,True,PERP_REL:1|LOCATION:1|TIME_FREQ:1,8,True,False,True,False,True,SUCCESS
WSL_0764,a3c4e07f0aeefb15,WH,WH,True,True,NONE,5,True,False,True,False,True,SUCCESS
WSL_0217,79bb1995cfa28ab1,ST|CA,CA,False,True,LOCATION:1|PLATFORM:1,5,True,False,True,False,True,SUCCESS
WSL_0922,37fbfcc8c833eceb,OV,OV,True,True,NONE,1,True,False,True,False,True,SUCCESS
WSL_0792,8cc384c2f7c87fc3,ST|CA,CA,False,True,PERP_REL:1,5,True,False,True,False,True,SUCCESS
WSL_0053,6440b8e5c15c575b,CA,CA,True,True,NONE,5,True,False,True,False,True,SUCCESS
WSL_0879,7902de4cb6f09ef2,OV,OV,True,True,PERP_REL:1,1,True,False,True,False,True,SUCCESS
WSL_0338,f5e11ed8d1b3036b,ST,ST,True,True,TIME_FREQ:1,3,True,False,True,False,True,SUCCESS
WSL_0749,8fca9ae8ff2ba605,ST,ST,True,True,TIME_FREQ:1,3,True,False,True,False,True,SUCCESS
WSL_0720,1eaef4899559a9f9,CA,CA,True,True,PERP_REL:1|PLATFORM:1,5,True,False,True,False,True,SUCCESS
WSL_0296,63e82829950230fc,ST,ST,True,True,LOCATION:2,3,True,False,True,False,True,SUCCESS
WSL_1017,11ecfd782d85f9dc,DV,DV,True,True,PERP_REL:1|TIME_FREQ:1,8,True,False,True,False,True,SUCCESS
WSL_0456,14b79306cb6b9e87,DV,DV,True,True,PERP_REL:1|TIME_FREQ:1,8,True,False,True,False,True,SUCCESS
WSL_0816,bef209a99aceefeb,ST|CA,CA,False,True,TIME_FREQ:1|PLATFORM:2,5,True,False,True,False,True,SUCCESS
WSL_0270,0bb45cf2b507406d,SH,SH,True,True,PERP_REL:1,8,True,False,True,False,True,SUCCESS
WSL_0996,57a6251237bb8561,SH,SH,True,True,NONE,8,True,False,True,False,True,SUCCESS
WSL_0202,8c620b25efb1b2d8,CA,CA,True,True,NONE,5,True,False,True,False,True,SUCCESS
WSL_0162,e7e15fdf8dcc4959,CA,CA,True,True,PLATFORM:2,5,True,False,True,False,True,SUCCESS
WSL_0730,ea14444d69303b24,SH,SH,True,True,NONE,8,True,False,True,False,True,SUCCESS
WSL_0402,193df1411e2d49ca,ST,ST|CA,False,True,LOCATION:1,8,True,False,True,False,True,SUCCESS
WSL_0703,d41707bc39ee0e72,DV,DV,True,True,PERP_REL:1|TIME_FREQ:1,8,True,False,True,False,True,SUCCESS
WSL_0566,7e910e8b6904ba51,SH,SH,True,True,NONE,8,True,False,True,False,True,SUCCESS
WSL_1022,7b79f1dbcc2a9bfd,SH,SH,True,True,PERP_REL:2,8,True,False,True,False,True,SUCCESS
WSL_1026,0ec3084b8629005f,SH,SH,True,True,TIME_FREQ:1,8,True,False,True,False,True,SUCCESS
WSL_0206,81b868ef65ea46ac,SH,SH,True,True,NONE,8,True,False,True,False,True,SUCCESS
WSL_0035,3edbe3e3ce67b59d,OV,OV,True,True,PERP_REL:1,1,True,False,True,False,True,SUCCESS
WSL_0776,b939f4a16990f5e7,SH,SH,True,True,PERP_REL:1,8,True,False,True,False,True,SUCCESS
WSL_0509,ee15159cc0aa1514,ST,ST,True,True,PERP_REL:1,3,True,False,True,False,True,SUCCESS
WSL_1074,2166896c0706ad52,OV,DV,False,False,PERP_REL:2,8,True,False,True,False,True,CLASSIFICATION_ERROR
WSL_0092,423743e7f93f9622,SH,SH,True,True,NONE,8,True,False,True,False,True,SUCCESS
WSL_0898,1b8099fe4637ab61,CA,CA,True,True,PERP_REL:1|PLATFORM:2,5,True,False,True,False,True,SUCCESS
WSL_0565,e38996030fb1d99e,DV,DV,True,True,PERP_REL:1|LOCATION:1|TIME_FREQ:1,8,True,False,True,False,True,SUCCESS
WSL_0777,f1fa3f26114020ee,ST,ST,True,True,LOCATION:1,3,True,False,True,False,True,SUCCESS
WSL_0242,df0e6f833e9e0ea1,WH,WH,True,True,PERP_REL:1,5,True,False,True,False,True,SUCCESS
WSL_0014,9f58e805308bf4c6,ST,ST,True,True,PERP_REL:1|LOCATION:1|TIME_FREQ:1,3,True,False,True,False,True,SUCCESS
WSL_0316,0a63a937014837b4,WH,WH,True,True,NONE,5,True,False,True,False,True,SUCCESS
WSL_0601,2f813a6114839c57,ST,ST,True,True,LOCATION:2|TIME_FREQ:1,3,True,False,True,False,True,SUCCESS
WSL_0388,a52c019fcde6babf,CA,CA,True,True,PERP_REL:1|PLATFORM:1,5,True,False,True,False,True,SUCCESS
WSL_0167,478cfc65662bacf4,DV,DV,True,True,PERP_REL:1|TIME_FREQ:1,8,True,False,True,False,True,SUCCESS
WSL_0841,3a2116fb3498f6cc,ST|CA,ST|CA,True,True,PLATFORM:1,8,True,False,True,False,True,SUCCESS
WSL_0021,fc49464854591f77,WH,WH,True,True,PERP_REL:1,5,True,False,True,False,True,SUCCESS
WSL_0647,c790dfafea058ced,ST,ST,True,True,PERP_REL:1|TIME_FREQ:2,3,True,False,True,False,True,SUCCESS
WSL_0832,52f51aa0a9156730,WH,WH,True,True,NONE,5,True,False,True,False,True,SUCCESS
WSL_0563,46ca31b9ea59ad7b,ST,ST,True,True,PLATFORM:1,3,True,False,True,False,True,SUCCESS
WSL_1062,54fd7c728f3703a8,WH,WH,True,True,TIME_FREQ:1,5,True,False,True,False,True,SUCCESS
WSL_0687,6e1189b831a15d91,SH|WH,WH,False,True,PERP_REL:1,5,True,False,True,False,True,SUCCESS
WSL_0958,6bf97ed699265b3a,SH,SH,True,True,NONE,8,True,False,True,False,True,SUCCESS
WSL_0190,71aa7fd19fb0f59f,ST,ST,True,True,LOCATION:1,3,True,False,True,False,True,SUCCESS
WSL_0976,fae04fdbf9e85e9d,CA,CA,True,True,NONE,5,True,False,True,False,True,SUCCESS
WSL_0700,f31d707c73f0031e,SH,SH,True,True,LOCATION:1,8,True,False,True,False,True,SUCCESS
WSL_0511,676cae7e9bbd06a7,WH,WH,True,True,NONE,5,True,False,True,False,True,SUCCESS
WSL_0475,342bbdb92e105ba5,DV|CA,CA,False,True,PERP_REL:1|PLATFORM:1,5,True,False,True,False,True,SUCCESS
WSL_0857,a552de49bcf68f69,SH,SH,True,True,NONE,8,True,False,True,False,True,SUCCESS
WSL_0748,d8da3f1dcca1ee52,DV,,False,False,PERP_REL:1|TIME_FREQ:1,0,True,False,True,False,True,CLASSIFICATION_ERROR
WSL_0253,7bb2cca416c53139,SH,SH,True,True,TIME_FREQ:1,8,True,False,True,False,True,SUCCESS
WSL_0022,b0b74f253ed84772,SH,SH,True,True,NONE,8,True,False,True,False,True,SUCCESS
WSL_0460,8f9f249eb07a32a4,ST|CA,CA,False,True,TIME_FREQ:1,5,True,False,True,False,True,SUCCESS
WSL_0277,f17e72d17ee0193a,ST,ST,True,True,NONE,3,True,False,True,False,True,SUCCESS
WSL_0956,e7789d6693cd72a3,WH,WH,True,True,PERP_REL:1,5,True,False,True,False,True,SUCCESS
WSL_0386,705cbf8a8d8275a2,CA,CA,True,True,PLATFORM:1,5,True,False,True,False,True,SUCCESS
WSL_0806,b519148bc43bc670,ST|CA,ST|CA,True,True,LOCATION:2|TIME_FREQ:1,8,True,False,True,False,True,SUCCESS
WSL_0344,79a99444653dd2a1,DV,DV,True,True,PERP_REL:1|TIME_FREQ:1,8,True,False,True,False,True,SUCCESS
WSL_0770,16e70eb21664b037,SH,SH,True,True,NONE,8,True,False,True,False,True,SUCCESS
WSL_0131,a0596dd6bab4538b,DV,DV,True,True,PERP_REL:1|LOCATION:1|TIME_FREQ:1,8,True,False,True,False,True,SUCCESS
WSL_0872,a1e1a3f9e21787af,DV,DV,True,True,PERP_REL:1,8,True,False,True,False,True,SUCCESS
WSL_0088,852d6e06b3132a31,DV,DV,True,True,PERP_REL:1|LOCATION:1|TIME_FREQ:1,8,True,False,True,False,True,SUCCESS
WSL_0331,c5d5171d7f4cc2b4,SH,SH,True,True,LOCATION:1|TIME_FREQ:1,8,True,False,True,False,True,SUCCESS
WSL_0467,d07579ba20fc5a5b,CA,CA,True,True,PLATFORM:1,5,True,False,True,False,True,SUCCESS
WSL_0122,e5d603404728cfcf,SH,SH|WH,False,True,NONE,13,True,False,True,False,True,SUCCESS
WSL_1045,077b380fc19e511d,ST,ST,True,True,PERP_REL:1|TIME_FREQ:1|LOCATION:1,3,True,False,True,False,True,SUCCESS
WSL_0861,58357c0b3013a142,CA,CA,True,True,PLATFORM:2,5,True,False,True,False,True,SUCCESS
